Time,Acceleration
12.28,-0.02527
12.29,-0.01173
12.3,0.00148
12.31,0.01464
12.32,0.02365
12.33,0.03258
12.34,0.03924
12.35,0.0458
12.36,0.0551
12.37,0.06443
12.38,0.08027
12.39,0.09593
12.4,0.11398
12.41,0.13186
12.42,0.14962
12.43,0.1674
12.44,0.17789
12.45,0.18841
12.46,0.18763
12.47,0.18677
12.48,0.16662
12.49,0.1464
12.5,0.11011
12.51,0.07375
12.52,0.04301
12.53,0.01231
12.54,-0.01054
12.55,-0.0334
12.56,-0.04461
12.57,-0.05593
12.58,-0.06189
12.59,-0.06796
12.6,-0.06204
12.61,-0.05617
12.62,-0.03451
12.63,-0.01273
12.64,0.01205
12.65,0.03697
12.66,0.0534
12.67,0.06976
12.68,0.06914
12.69,0.06856
12.7,0.05211
12.71,0.03573
12.72,0.01178
12.73,-0.01204
12.74,-0.03172
12.75,-0.05126
12.76,-0.06365
12.77,-0.07601
12.78,-0.08044
12.79,-0.08483
12.8,-0.08759
12.81,-0.09023
12.82,-0.07954
12.83,-0.06884
12.84,-0.05002
12.85,-0.03108
12.86,-0.01148
12.87,0.00808
12.88,0.02404
12.89,0.03999
12.9,0.04544
12.91,0.05077
12.92,0.04488
12.93,0.03877
12.94,0.02794
12.95,0.01709
12.96,0.012
12.97,0.00708
12.98,0.00304
12.99,-0.00104
13,-0.00306
13.01,-0.00511
13.02,-0.0079
13.03,-0.01073
13.04,-0.01369
13.05,-0.01668
13.06,-0.02
13.07,-0.02323
13.08,-0.02509
13.09,-0.02708
13.1,-0.02489
13.11,-0.02272
13.12,-0.01966
13.13,-0.01671
13.14,-0.01536
13.15,-0.01391
13.16,-0.01345
13.17,-0.01289
13.18,-0.0128
13.19,-0.0126
13.2,-0.01478
13.21,-0.01693
13.22,-0.02184
13.23,-0.02682
13.24,-0.03246
13.25,-0.03815
13.26,-0.04089
13.27,-0.04364
13.28,-0.04227
13.29,-0.04075
13.3,-0.03186
13.31,-0.02291
13.32,-0.00848
13.33,0.00609
13.34,0.02364
13.35,0.04135
13.36,0.05742
13.37,0.07355
13.38,0.08024
13.39,0.08679
13.4,0.07978
13.41,0.07282
13.42,0.0514
13.43,0.03002
13.44,0.00818
13.45,-0.01354
13.46,-0.03132
13.47,-0.04908
13.48,-0.05772
13.49,-0.06624
13.5,-0.06818
13.51,-0.07011
13.52,-0.07093
13.53,-0.07175
13.54,-0.06987
13.55,-0.06791
13.56,-0.06615
13.57,-0.0644
13.58,-0.06498
13.59,-0.06558
13.6,-0.06839
13.61,-0.07122
13.62,-0.07328
13.63,-0.07547
13.64,-0.07418
13.65,-0.07302
13.66,-0.06701
13.67,-0.06101
13.68,-0.05125
13.69,-0.04151
13.7,-0.02999
13.71,-0.01841
13.72,-0.00766
13.73,0.00308
13.74,0.00968
13.75,0.01616
13.76,0.02213
13.77,0.02797
13.78,0.0357
13.79,0.04332
13.8,0.05083
13.81,0.05823
13.82,0.06432
13.83,0.0704
13.84,0.07709
13.85,0.08368
13.86,0.08827
13.87,0.09275
13.88,0.09495
13.89,0.09706
13.9,0.09158
13.91,0.08621
13.92,0.07106
13.93,0.05592
13.94,0.04801
13.95,0.0401
13.96,0.03811
13.97,0.03604
13.98,0.03678
13.99,0.03755
14,0.04304
14.01,0.04844
14.02,0.05386
14.03,0.0593
14.04,0.05895
14.05,0.05862
14.06,0.04739
14.07,0.03608
14.08,0.02088
14.09,0.00558
14.1,-0.00822
14.11,-0.02211
14.12,-0.0323
14.13,-0.04249
14.14,-0.04719
14.15,-0.05189
14.16,-0.0524
14.17,-0.05282
14.18,-0.04785
14.19,-0.04279
14.2,-0.03774
14.21,-0.03261
14.22,-0.0323
14.23,-0.0321
14.24,-0.03701
14.25,-0.04194
14.26,-0.05148
14.27,-0.06104
14.28,-0.06851
14.29,-0.07611
14.3,-0.07903
14.31,-0.08186
14.32,-0.082
14.33,-0.08217
14.34,-0.07115
14.35,-0.06003
14.36,-0.03833
14.37,-0.01674
14.38,0.00845
14.39,0.03361
14.4,0.05957
14.41,0.08543
14.42,0.11018
14.43,0.13493
14.44,0.14897
14.45,0.16303
14.46,0.16428
14.47,0.16564
14.48,0.15699
14.49,0.14845
14.5,0.13311
14.51,0.11779
14.52,0.10388
14.53,0.08997
14.54,0.07667
14.55,0.06329
14.56,0.05162
14.57,0.03986
14.58,0.02911
14.59,0.01837
14.6,0.00633
14.61,-0.00569
14.62,-0.01421
14.63,-0.02281
14.64,-0.02611
14.65,-0.02937
14.66,-0.02813
14.67,-0.02689
14.68,-0.02144
14.69,-0.01599
14.7,-0.00952
14.71,-0.00313
14.72,-0.00055
